"time","ApparentPower","Current","Power","ReactivePower"
"2023-03-16T09:36:10.000+01:00","45","0.209","39","23"
"2023-03-16T09:36:20.000+01:00","56","0.257","37","42"
"2023-03-16T09:36:30.000+01:00","52","0.239","37","37"
"2023-03-16T09:36:40.000+01:00","84","0.385","61","57"
"2023-03-16T09:36:50.000+01:00","67","0.311","61","29"
"2023-03-16T09:37:00.000+01:00","69","0.318","62","30"
"2023-03-16T09:37:10.000+01:00","68","0.313","62","29"
"2023-03-16T09:37:20.000+01:00","94","0.433","76","56"
"2023-03-16T09:37:30.000+01:00","83","0.384","78","30"
"2023-03-16T09:37:40.000+01:00","69","0.32","64","27"
"2023-03-16T09:37:50.000+01:00","78","0.357","74","23"
"2023-03-16T09:38:00.000+01:00","77","0.354","76","0"
"2023-03-16T09:38:10.000+01:00","54","0.251","36","41"
"2023-03-16T09:38:20.000+01:00","45","0.206","39","21"
"2023-03-16T09:38:30.000+01:00","44","0.202","37","24"
"2023-03-16T09:38:40.000+01:00","66","0.305","51","42"
"2023-03-16T09:38:50.000+01:00","51","0.234","37","35"
"2023-03-16T09:39:00.000+01:00","85","0.39","59","61"
"2023-03-16T09:39:10.000+01:00","44","0.201","44","0"
"2023-03-16T09:39:20.000+01:00","46","0.213","37","28"
"2023-03-16T09:39:30.000+01:00","45","0.208","37","26"
"2023-03-16T09:39:40.000+01:00","45","0.208","35","29"
"2023-03-16T09:39:50.000+01:00","47","0.215","34","32"
"2023-03-16T09:40:00.000+01:00","64","0.297","43","48"
"2023-03-16T09:40:10.000+01:00","45","0.207","37","26"
"2023-03-16T09:40:20.000+01:00","46","0.212","42","19"
"2023-03-16T09:40:30.000+01:00","71","0.325","37","60"
"2023-03-16T09:40:40.000+01:00","57","0.262","44","36"
"2023-03-16T09:40:50.000+01:00","72","0.331","72","0"
"2023-03-16T09:41:00.000+01:00","57","0.262","36","44"
"2023-03-16T09:41:10.000+01:00","45","0.209","36","27"
"2023-03-16T09:41:20.000+01:00","46","0.211","36","29"
"2023-03-16T09:41:30.000+01:00","48","0.219","45","16"
"2023-03-16T09:41:40.000+01:00","45","0.209","35","29"
"2023-03-16T09:41:50.000+01:00","46","0.213","37","28"
"2023-03-16T09:42:00.000+01:00","45","0.208","38","25"
"2023-03-16T09:42:10.000+01:00","51","0.233","43","27"
"2023-03-16T09:42:20.000+01:00","71","0.329","44","56"
"2023-03-16T09:42:30.000+01:00","45","0.208","45","0"
"2023-03-16T09:42:40.000+01:00","47","0.215","47","0"
"2023-03-16T09:42:50.000+01:00","45","0.209","38","25"
"2023-03-16T09:43:00.000+01:00","46","0.211","36","28"
"2023-03-16T09:43:10.000+01:00","44","0.204","38","23"
"2023-03-16T09:43:20.000+01:00","47","0.215","37","29"
