relay,temperature,overtemperature,energy,power
1,31.32,0,34,0
1,31.32,0,34,0
1,30.71,0,34,5.88
1,30.71,0,34,5.88
1,30.6,0,34,3.83
1,30.6,0,34,3.83
1,30.6,0,34,2.73
1,30.6,0,34,2.73
1,30.54,0,34,2.55
1,30.54,0,34,2.55
1,30.54,0,34,2.4
1,30.54,0,34,2.4
1,30.43,0,34,2.31
1,30.43,0,34,2.31
1,30.49,0,34,1.66
1,30.49,0,34,1.66
1,30.37,0,34,1.69
1,30.37,0,34,1.69
1,30.43,0,34,1.65
1,30.43,0,34,1.65
1,30.88,0,34,1.53
1,30.88,0,34,1.53
1,30.77,0,34,1.52
1,30.77,0,34,1.52
1,30.2,0,34,1.56
1,30.2,0,34,1.56
1,30.6,0,34,3.01
1,30.6,0,34,3.01
1,30.49,0,34,1.1
1,30.49,0,34,1.1
1,30.6,0,34,0.98
1,30.6,0,34,0.98
1,30.49,0,34,0.91
1,30.49,0,34,0.91
1,30.43,0,34,2.64
1,30.43,0,34,2.64
1,30.49,0,34,1.37
1,30.49,0,34,1.37
1,30.43,0,34,3.66
1,30.43,0,34,3.66
1,30.49,0,34,0
1,30.49,0,34,0
1,30.93,0,34,0
1,30.93,0,34,0
1,30.26,0,34,0
1,30.26,0,34,0
1,30.65,0,34,0
1,30.65,0,34,0
1,30.43,0,34,0
1,30.43,0,34,0
1,30.6,0,34,0
1,30.6,0,34,0
1,30.6,0,34,0
1,30.6,0,34,0
1,30.49,0,34,0
1,30.49,0,34,0
1,30.6,0,34,0
1,30.6,0,34,0
1,30.54,0,34,0
1,30.54,0,34,0
1,30.15,0,34,0
1,30.15,0,34,0
1,30.37,0,34,0
1,30.37,0,34,0
1,30.88,0,34,0
1,30.88,0,34,0
1,31.27,0,34,0
1,31.27,0,34,0
1,30.6,0,34,0
1,30.6,0,34,0
1,30.6,0,34,0
1,30.6,0,34,0
1,30.43,0,34,0
1,30.43,0,34,0
1,30.6,0,34,0
1,30.6,0,34,0
1,30.71,0,34,0
1,30.71,0,34,0
1,30.71,0,34,0
1,30.71,0,34,0
1,30.71,0,34,0
1,30.71,0,34,0
1,30.26,0,34,0
1,30.26,0,34,0
1,30.77,0,34,0
1,30.77,0,34,0
1,31.16,0,34,0
1,31.16,0,34,0
1,30.71,0,34,0
1,30.71,0,34,0
1,31.1,0,34,0
1,31.1,0,34,0
1,30.93,0,34,0
1,30.93,0,34,0
1,30.88,0,34,0
1,30.88,0,34,0
1,30.88,0,34,0
1,30.88,0,34,0
1,30.88,0,34,0
1,30.88,0,34,0
1,30.71,0,34,0
1,30.71,0,34,0
1,30.6,0,34,0
1,30.6,0,34,0
1,30.88,0,34,0
1,30.88,0,34,0
1,30.71,0,34,0
1,30.71,0,34,0
1,31.21,0,34,0
1,31.21,0,34,0
1,30.93,0,34,0
1,30.93,0,34,0
1,31.1,0,34,0
1,31.1,0,34,0
1,31.1,0,34,0
1,31.1,0,34,0
1,30.93,0,34,0
1,30.93,0,34,0
1,30.82,0,34,0
1,30.82,0,34,0
1,30.65,0,34,0
1,30.65,0,34,0
1,30.77,0,34,0
1,30.77,0,34,0
1,30.6,0,34,0
1,30.6,0,34,0
1,30.82,0,34,0
1,30.82,0,34,0
1,30.93,0,34,0
1,30.93,0,34,0
1,31.05,0,34,0
1,31.05,0,34,0
1,31.55,0,34,0
1,31.55,0,34,0
1,31.1,0,34,0
1,31.1,0,34,0
1,30.77,0,34,0
1,30.77,0,34,0
1,30.93,0,34,0
1,30.93,0,34,0
1,30.71,0,34,0
1,30.71,0,34,0
1,30.93,0,34,0
1,30.93,0,34,0
1,30.93,0,34,0
1,30.93,0,34,0
1,30.43,0,34,0
1,30.43,0,34,0
1,30.49,0,34,0
1,30.49,0,34,0
1,30.88,0,34,0
1,30.88,0,34,0
1,31.16,0,34,0
1,31.16,0,34,0
1,31.1,0,34,0
1,31.1,0,34,0
1,31.1,0,34,0
1,31.1,0,34,0
1,31.1,0,34,4.79
1,31.1,0,34,4.79
1,30.93,0,34,3.53
1,30.93,0,34,3.53
1,31.1,0,36,0
1,31.1,0,36,0
1,30.93,0,36,0
1,30.93,0,36,0
1,30.6,0,36,0
1,30.6,0,36,0
